artist,title,id
"Aaron Tippin","You've Got To Stand For Something [karaoke]",""
"Aaron Tippin & Thea Tippin","Love Like There's No Tomorrow [Karaoke]",""
"Aaron Tippin & Thea Tippin","Love Like There's No Tomorrow [Karaoke]",""
"Aaron Young","Farewell Riegle [Karaoke]",""
"Abandoned Pools","Remedy [Karaoke]",""
"Abandoned Pools","Remedy [Karaoke]",""
"Abba"," Dancing Queen",""
"Abba","Angel Eyes [Karaoke]",""
"Abba","Angel Eyes [Karaoke]",""
"Abba","As Good As New [Karaoke]",""
"Abba","As Good As New [Karaoke]",""
"ABBA","Bang A Boomerang [Z Karaoke]",""
"Abba","Chiquitita [Karaoke]",""
"Abba","Chiquitita [Karaoke]",""
"ABBA","Chiquitita [Z Karaoke]",""
"Abba","Dancing Queen [Karaoke]",""
"Abba","Dancing Queen [Karaoke]",""
"ABBA","Dancing Queen [Z Karaoke]",""
"Abba","Day Before You Came [Karaoke]",""
"Abba","Day Before You Came [Karaoke]",""
"Abba","Does Your Mother Know",""
"Abba","Does Your Mother Know [Karaoke]",""
"ABBA","Does Your Mother Know [Z Karaoke]",""
"Abba","Fernando [Karaoke]",""
"Abba","Fernando [Karaoke]",""
"ABBA","Fernando [Z Karaoke]",""
"Abba","Gimme Gimme Gimme (A Man After Midnight) [Karaoke]",""
"Abba","Gimme Gimme Gimme (A Man After Midnight) [Karaoke]",""
"ABBA","Gimme Gimme Gimme (A Man after Midnight) [Z Karaoke]",""
"Abba","Happy New Year [Karaoke]",""
"Abba","Happy New Year [Karaoke]",""
"Abba","Hasta Manana [Karaoke]",""
"Abba","He Is Your Brother [Karaoke]",""
"Abba","Hey Hey Helen [Karaoke]",""
"ABBA","Honey Honey [Karaoke]",""
"ABBA","Honey Honey [Z Karaoke]",""
"Abba","I Do I Do I Do I Do I Do [Karaoke]",""
"Abba","I Do I Do I Do I Do I Do [Karaoke]",""
"Abba","I Have A Dream [Karaoke]",""
"Abba","I Have A Dream [Karaoke]",""
"ABBA","I Have A Dream [Z Karaoke]",""
"Abba","I Let Music Speak [Karaoke]",""
"Abba","I'm A Marionette [Karaoke]",""
"Abba","I've Been Waiting For You [Karaoke]",""
"Abba","If It Wasn't For Nights [Karaoke]",""
"Abba","If It Wasn't For The Nights [Karaoke]",""
"Abba","Im A Marionette [Karaoke]",""
"Abba","Ive Been Waiting For You [Karaoke]",""
